"","lambda","frequency","Sample","Bias_moi","Variation_coef_moi","Bias_freq"
"1",0.1,1,50,1.57690033296223,31.8341748386013,2.18349643921201e-15
"2",0.25,1,50,1.18306054623611,22.6112605031965,2.39174999250302e-15
"3",0.5,1,50,-0.67003231378169,15.2439156743334,-2.82521402106273e-16
"4",1,1,50,1.31606883836563,8.93120295113435,-2.41473507855972e-15
"5",1.5,1,50,3.56107957519513,16.0873316058556,-6.28793891954693e-16
"6",2,1,50,1.914698279524,18.2808566475961,3.00952839038526e-16
"7",2.5,1,50,0.224523618702151,10.031463123258,2.61908550402978e-15
"8",0.1,1,100,1.58464205645786,39.3554289811881,-4.20844999474146e-15
"9",0.25,1,100,0.474759059080991,12.8021805149182,-1.67652350335779e-15
"10",0.5,1,100,-2.18172047157347,8.74247822005689,-1.1553041509571e-15
"11",1,1,100,5.46084771709574,12.2280285352124,2.54895117599713e-15
"12",1.5,1,100,1.24974569632335,12.1949819297607,1.83186799063151e-15
"13",2,1,100,-1.08784576121824,7.78764269547258,-7.25114412958305e-17
"14",2.5,1,100,-0.909792640992137,8.46859676797669,4.15854416874195e-15
"15",0.1,1,150,-0.420327875089859,17.483290246675,2.3296252080196e-16
"16",0.25,1,150,-1.47985580169089,6.30492106701028,1.06165076729781e-16
"17",0.5,1,150,2.30849747944432,9.71016264816583,3.05311331771918e-16
"18",1,1,150,0.719072226677122,7.36282818889756,-5.99477065210685e-16
"19",1.5,1,150,0.00861623903098083,4.67177398043448,-7.04731412115578e-16
"20",2,1,150,-0.450505973708019,7.89175029052434,-1.76590513045749e-15
"21",2.5,1,150,-1.14062365973882,3.85609080544342,1.80411241501588e-15
"22",0.1,1,200,-0.741604144068002,10.5321762972036,-1.52143922460546e-15
"23",0.25,1,200,-1.0802039926292,8.15137849665053,3.44646186589692e-16
"24",0.5,1,200,2.22726193336398,4.2757883289743,-4.71844785465692e-16
"25",1,1,200,0.131106029217269,1.339900513156,-2.08166817117217e-15
"26",1.5,1,200,0.760082136225273,3.37237670006075,1.43843270627997e-15
"27",2,1,200,1.58651166513735,4.98450839267831,6.49372049188468e-16
"28",2.5,1,200,1.01306448862666,2.81974837782851,-5.67336976009525e-15
"29",0.1,1,500,0.622071269295894,5.77474643147398,1.08246744900953e-15
"30",0.25,1,500,-0.567919213013057,5.21524239695513,-1.78186458643648e-15
"31",0.5,1,500,0.548236682793548,2.60726562257608,-2.00393087540496e-15
"32",1,1,500,-0.830531731598219,3.49480620813718,-1.73713040479972e-15
"33",1.5,1,500,1.07447285166151,1.28214437656745,-1.34863908235472e-15
"34",2,1,500,3.11913836752934,2.64890067711532,-1.79263071400926e-15
"35",2.5,1,500,1.5797789728658,2.49311746716127,1.04334943462625e-15
"36",0.1,2,50,1.89095927011144,48.6537609439707,42.4106247267668
"37",0.25,2,50,-0.589812032355486,33.0305778874145,48.7393184712842
"38",0.5,2,50,-0.314637256524046,14.6402614505528,-12.3116612084412
"39",1,2,50,-10.227618374237,15.2534589778786,-7.10233129481598
"40",1.5,2,50,-3.33793053365224,16.2099325983858,1.66732581351128
"41",2,2,50,0.810393669094516,20.2830148621086,5.00836130672003
"42",2.5,2,50,9.5769680930618,18.2375332583695,-15.4056839849487
"43",0.1,2,100,-0.522006787054408,12.4815663837344,22.7400209009678
"44",0.25,2,100,-2.20862648461731,14.8882214526029,23.6403885303568
"45",0.5,2,100,-1.50828969123239,3.68328868149184,1.38689984440615
"46",1,2,100,0.339293846139863,14.444688957794,3.3388458462249
"47",1.5,2,100,-2.07115951919674,13.6326296684893,8.51501194176725
"48",2,2,100,-1.98417359882489,4.8865501452256,5.38576813522447
"49",2.5,2,100,2.52389589353546,10.2234059172576,4.74635276673862
"50",0.1,2,150,1.97599878583832,26.7253625452852,-0.0851497140294578
"51",0.25,2,150,4.37294205832292,14.3575686558744,21.4653547255604
"52",0.5,2,150,4.51633354214352,18.0610181827344,-0.56741241576507
"53",1,2,150,2.28287817342559,10.8782632182213,2.05762107760481
"54",1.5,2,150,0.422637942842894,6.24905205793415,5.92149245602654
"55",2,2,150,0.778002342583997,2.51394408915688,2.68656676383631
"56",2.5,2,150,-0.0537470184893429,3.91127741316633,-0.117580824992865
"57",0.1,2,200,0.690623603714218,15.535031653287,3.64621235367875
"58",0.25,2,200,-0.595283389632919,14.5930514958115,4.7877545429662
"59",0.5,2,200,1.41854647849968,11.9199734681172,0.800052895311448
"60",1,2,200,-0.0931210435878205,5.34656856771365,-0.52101881393866
"61",1.5,2,200,-0.925427743371396,7.73863579092353,5.79468812099322
"62",2,2,200,1.38659752321138,6.42877436509249,1.18122868093192
"63",2.5,2,200,-1.29509635892836,3.48153555382412,-3.74336935406414
"64",0.1,2,500,-0.0363904065424014,16.6750088753437,1.19928020422466
"65",0.25,2,500,-0.0336946548727934,8.15119845506251,-1.25828862539519
"66",0.5,2,500,0.485858546907756,5.49955199882111,0.341260463983159
"67",1,2,500,0.231209556816918,4.6766775735916,-4.09734002741447
"68",1.5,2,500,1.60890746293403,5.41939678893305,-0.548317220544028
"69",2,2,500,-2.32300407919291,2.72563093844273,1.75458589888685
"70",2.5,2,500,-0.525291882971255,6.25012162545927,-0.752804537309665
